candidate_identity_key,artist_display_name,title,year,membership_count,archetype_ids,import_classes,resolution_status,selected_source,confidence,match_score,track_count,catalog_artist_name,catalog_collection_name,catalog_release_date,apple_collection_id,musicbrainz_release_group_id,musicbrainz_release_id,catalog_url,warnings
album|abba|gold greatest hits,ABBA,Gold: Greatest Hits,1992,1,113,false_nearby_candidate,resolved,apple_itunes_search_api,low,81,19,ABBA,ABBA Gold: Greatest Hits,1992-09-21,1422648512,,,https://music.apple.com/us/album/abba-gold-greatest-hits/1422648512?uo=4,
album|above the law|livin like hustlers,Above the Law,Livin' Like Hustlers,1990,1,047,core_graph_album,resolved,apple_itunes_search_api,high,97,10,Above the Law,Livin' Like Hustlers,1990-02-20,193866697,,,https://music.apple.com/us/album/livin-like-hustlers/193866697?uo=4,
album|ac dc|back in black,AC/DC,Back in Black,1980,1,017,core_graph_album,resolved,apple_itunes_search_api,high,97,10,AC/DC,Back In Black,1980-07-25,574050396,,,https://music.apple.com/us/album/back-in-black/574050396?uo=4,lookup_track_count_below_catalog_track_count
album|ac dc|highway to hell,AC/DC,Highway to Hell,1979,1,017,core_graph_album,resolved,apple_itunes_search_api,high,97,10,AC/DC,Highway to Hell,1979-07-27,574043989,,,https://music.apple.com/us/album/highway-to-hell/574043989?uo=4,lookup_track_count_below_catalog_track_count
album|accept|restless and wild,Accept,Restless and Wild,1982,1,061,core_graph_album,resolved,apple_itunes_search_api,high,94,10,Accept,Restless and Wild,1983-01-01,192486525,,,https://music.apple.com/us/album/restless-and-wild/192486525?uo=4,
album|adam and the ants|kings of the wild frontier,Adam and the Ants,Kings of the Wild Frontier,1980,1,057,core_graph_album,resolved,musicbrainz_ws2,high,109,39,Adam and the Ants,Kings of the Wild Frontier,1980,1108061200,8698397e-887c-3f78-9d95-6c6499a1daa8,68f83fd5-f3b3-4bce-b6bb-4fe603c837a1,https://musicbrainz.org/release/68f83fd5-f3b3-4bce-b6bb-4fe603c837a1,
album|adele|21,Adele,21,2011,1,092,core_graph_album,resolved,apple_itunes_search_api,high,97,12,Adele,21,2011-01-24,1544491232,,,https://music.apple.com/us/album/21/1544491232?uo=4,
album|adele|25,Adele,25,2015,1,092,core_graph_album,resolved,apple_itunes_search_api,high,97,11,Adele,25,2015-11-20,1544494115,,,https://music.apple.com/us/album/25/1544494115?uo=4,
album|adrianne lenker|songs,Adrianne Lenker,songs,2020,1,116,core_graph_album,resolved,apple_itunes_search_api,high,97,11,Adrianne Lenker,songs,2020-10-23,1526437437,,,https://music.apple.com/us/album/songs/1526437437?uo=4,
album|adverts|crossing the red sea with the adverts,The Adverts,Crossing the Red Sea with The Adverts,1978,1,053,core_graph_album,resolved,musicbrainz_ws2,high,109,25,The Adverts,Crossing the Red Sea with The Adverts,1978-02-17,1668347179,7f32f3a7-2b4d-357d-a722-6943880ace45,52912672-8a42-4038-990c-46b7b8e7b531,https://musicbrainz.org/release/52912672-8a42-4038-990c-46b7b8e7b531,
album|aerosmith|rocks,Aerosmith,Rocks,1976,1,017,core_graph_album,resolved,apple_itunes_search_api,high,97,9,Aerosmith,Rocks,1976-05-03,1658654048,,,https://music.apple.com/us/album/rocks/1658654048?uo=4,
album|aerosmith|toys in the attic,Aerosmith,Toys in the Attic,1975,1,017,core_graph_album,resolved,apple_itunes_search_api,high,97,9,Aerosmith,Toys In The Attic,1975-04-08,1883816624,,,https://music.apple.com/us/album/toys-in-the-attic/1883816624?uo=4,
album|aesop rock|labor days,Aesop Rock,Labor Days,2001,1,051,core_graph_album,resolved,musicbrainz_ws2,high,109,14,Aesop Rock,Labor Days,2001-09-18,1623688022,43f0606f-38ce-3d7c-891b-3e089cc150e0,cd171e0b-4cb1-4bef-ab60-ccab0729cd73,https://musicbrainz.org/release/cd171e0b-4cb1-4bef-ab60-ccab0729cd73,
album|agnostic front|victim in pain,Agnostic Front,Victim in Pain,1984,1,055,core_graph_album,resolved,musicbrainz_ws2,high,109,11,Agnostic Front,Victim in Pain,1984,1609512833,48cce2bc-1bd7-3842-996d-a90d1bfe4483,015d2a74-08bc-4e07-ba27-b7c4a1c062a2,https://musicbrainz.org/release/015d2a74-08bc-4e07-ba27-b7c4a1c062a2,
album|aimee mann|bachelor no 2,Aimee Mann,Bachelor No. 2,2000,1,029,core_graph_album,resolved,apple_itunes_search_api,low,81,13,Aimee Mann,"Bachelor No. 2 (Or, the Last Remains of the Dodo)",2000-05-02,551473502,,,https://music.apple.com/us/album/bachelor-no-2-or-the-last-remains-of-the-dodo/551473502?uo=4,
album|aimee mann|lost in space,Aimee Mann,Lost in Space,2002,1,029,core_graph_album,resolved,apple_itunes_search_api,high,97,11,Aimee Mann,Lost in Space,2002-08-27,551715559,,,https://music.apple.com/us/album/lost-in-space/551715559?uo=4,
album|air supply|lost in love,Air Supply,Lost in Love,1980,1,022,core_graph_album,resolved,apple_itunes_search_api,high,97,10,Air Supply,Lost in Love,1980-01-01,913765043,,,https://music.apple.com/us/album/lost-in-love/913765043?uo=4,
album|air|moon safari,Air,Moon Safari,1998,1,084,core_graph_album,resolved,apple_itunes_search_api,high,97,10,Air,Moon Safari,1998-01-16,693063670,,,https://music.apple.com/us/album/moon-safari/693063670?uo=4,
album|airplay|airplay,Airplay,Airplay,1980,1,023,core_graph_album,resolved,apple_itunes_search_api,high,97,10,Airplay,Airplay,1980-01-01,399222307,,,https://music.apple.com/us/album/airplay/399222307?uo=4,
album|al green|call me,Al Green,Call Me,1973,1,038,core_graph_album,resolved,apple_itunes_search_api,high,97,9,Al Green,Call Me,1973-07-01,1196508713,,,https://music.apple.com/us/album/call-me/1196508713?uo=4,
album|al green|i m still in love with you,Al Green,I'm Still in Love with You,1972,1,038,core_graph_album,resolved,apple_itunes_search_api,high,97,9,Al Green,I'm Still In Love with You,1972-10-23,1133378411,,,https://music.apple.com/us/album/im-still-in-love-with-you/1133378411?uo=4,
album|alabama|mountain music,Alabama,Mountain Music,1982,1,033,core_graph_album,resolved,apple_itunes_search_api,high,97,10,Alabama,Mountain Music,1982-01-22,286004566,,,https://music.apple.com/us/album/mountain-music/286004566?uo=4,
album|alan jackson|a lot about livin and a little bout love,Alan Jackson,A Lot About Livin' (And a Little 'Bout Love),1992,1,034,core_graph_album,resolved,apple_itunes_search_api,high,97,10,Alan Jackson,A Lot About Livin' (And a Little 'Bout Love),1992-10-09,258626620,,,https://music.apple.com/us/album/a-lot-about-livin-and-a-little-bout-love/258626620?uo=4,
album|alan jackson|don t rock the jukebox,Alan Jackson,Don't Rock the Jukebox,1991,1,034,core_graph_album,resolved,apple_itunes_search_api,high,97,10,Alan Jackson,Don't Rock the Jukebox,1991-01-01,250107577,,,https://music.apple.com/us/album/dont-rock-the-jukebox/250107577?uo=4,
album|alan silvestri|back to the future,Alan Silvestri,Back to the Future,1985,1,107,context_candidate,resolved,musicbrainz_ws2,high,94,24,Alan Silvestri,Back to the Future (Original Motion Picture Score),1985-07-03,1440871200,82cc7900-cfb8-3e65-bd98-206956587753,d25d4b18-3045-4549-abac-ad258d99ce46,https://musicbrainz.org/release/d25d4b18-3045-4549-abac-ad258d99ce46,
album|alanis morissette|jagged little pill,Alanis Morissette,Jagged Little Pill,1995,1,074,false_nearby_candidate,resolved,musicbrainz_ws2,high,109,12,Alanis Morissette,Jagged Little Pill,1995-06-13,1715762264,ee3d18ed-d6a8-37c7-a964-41bbdb6d59f1,0838ba20-a571-4b3c-8c0c-a31436d373b3,https://musicbrainz.org/release/0838ba20-a571-4b3c-8c0c-a31436d373b3,
album|ali farka toure and ry cooder|talking timbuktu,Ali Farka Toure and Ry Cooder,Talking Timbuktu,1994,1,099,core_graph_album,resolved,musicbrainz_ws2,high,107,10,Ali Farka Touré with Ry Cooder,Talking Timbuktu,1994-03-29,1528519970,a5a7a716-a039-3815-aee3-88ac135721c5,1e54dda5-c64b-42e8-9eed-ed50639e134b,https://musicbrainz.org/release/1e54dda5-c64b-42e8-9eed-ed50639e134b,
album|alice cooper|billion dollar babies,Alice Cooper,Billion Dollar Babies,1973,1,017,core_graph_album,resolved,apple_itunes_search_api,high,97,10,Alice Cooper,Billion Dollar Babies,1973-02-25,40458482,,,https://music.apple.com/us/album/billion-dollar-babies/40458482?uo=4,
album|alice in chains|dirt,Alice in Chains,Dirt,1992,1,070,core_graph_album,resolved,musicbrainz_ws2,high,109,13,Alice in Chains,Dirt,1992-09-29,157316517,92d8f0c4-8c64-3bee-bee1-812a70e77efa,66e95974-2592-4ea3-b1f7-27e283f10877,https://musicbrainz.org/release/66e95974-2592-4ea3-b1f7-27e283f10877,
album|alice in chains|facelift,Alice in Chains,Facelift,1990,1,070,core_graph_album,resolved,musicbrainz_ws2,high,109,12,Alice in Chains,Facelift,1990,274953009,7d026b9c-9159-34b5-a40d-14f134718394,67d1d63d-cb8a-47e9-97a9-304a5bb646ed,https://musicbrainz.org/release/67d1d63d-cb8a-47e9-97a9-304a5bb646ed,
album|alice in chains|jar of flies,Alice in Chains,Jar of Flies,1994,1,070,core_graph_album,resolved,apple_itunes_search_api,low,81,7,Alice In Chains,Jar of Flies - EP,1994-01-25,268435274,,,https://music.apple.com/us/album/jar-of-flies-ep/268435274?uo=4,
album|alicia keys|songs in a minor,Alicia Keys,Songs in A Minor,2001,1,043,core_graph_album,resolved,musicbrainz_ws2,high,109,16,Alicia Keys,Songs in A minor,2001-06-26,256936779,5701e04b-efc2-3429-b8af-c6596f1d08cf,149eb2e4-a97d-4276-98e1-11456b96ddc5,https://musicbrainz.org/release/149eb2e4-a97d-4276-98e1-11456b96ddc5,
album|alkaline trio|from here to infirmary,Alkaline Trio,From Here to Infirmary,2001,1,076,core_graph_album,resolved,musicbrainz_ws2,high,109,12,Alkaline Trio,From Here To Infirmary,2001-04-03,1435174439,2dd61d00-3771-34cf-befa-a75ae2cfd5b8,621c91cb-e9bc-4c45-87eb-19222353c4e6,https://musicbrainz.org/release/621c91cb-e9bc-4c45-87eb-19222353c4e6,
album|all american rejects|all american rejects,The All-American Rejects,The All-American Rejects,2002,1,077,core_graph_album,resolved,apple_itunes_search_api,high,97,11,The All-American Rejects,The All-American Rejects,2002-10-15,1459936723,,,https://music.apple.com/us/album/the-all-american-rejects/1459936723?uo=4,
album|allman brothers band|at fillmore east,The Allman Brothers Band,At Fillmore East,1971,1,019,core_graph_album,resolved,musicbrainz_ws2,high,109,7,The Allman Brothers Band,At Fillmore East,1971-06-06,1440833569,d757b87e-4a3b-38ec-9246-548baeff5ceb,f54d5d53-e85a-3b4e-b35c-3c86400f18aa,https://musicbrainz.org/release/f54d5d53-e85a-3b4e-b35c-3c86400f18aa,
album|allman brothers band|brothers and sisters,The Allman Brothers Band,Brothers and Sisters,1973,1,019,core_graph_album,resolved,apple_itunes_search_api,high,97,7,The Allman Brothers Band,Brothers and Sisters,1973-08-01,1469578954,,,https://music.apple.com/us/album/brothers-and-sisters/1469578954?uo=4,
album|allman brothers band|eat a peach,The Allman Brothers Band,Eat a Peach,1972,1,019,core_graph_album,resolved,musicbrainz_ws2,high,109,9,The Allman Brothers Band,Eat a Peach,1972,1469584912,0b1189ad-0bdf-34bc-89e4-ff05133ec51b,581f2ffb-fc8c-375c-a702-277d41edc01e,https://musicbrainz.org/release/581f2ffb-fc8c-375c-a702-277d41edc01e,
album|alt j|an awesome wave,alt-J,An Awesome Wave,2012,1,117,core_graph_album,resolved,apple_itunes_search_api,high,97,14,alt-J,An Awesome Wave,2012-05-28,558262493,,,https://music.apple.com/us/album/an-awesome-wave/558262493?uo=4,
album|amadou and mariam|dimanche a bamako,Amadou & Mariam,Dimanche a Bamako,2004,1,099,core_graph_album,resolved,apple_itunes_search_api,high,97,15,Amadou & Mariam,Dimanche à Bamako,2004-11-08,56371957,,,https://music.apple.com/us/album/dimanche-%C3%A0-bamako/56371957?uo=4,
album|amboy dukes|journey to the center of the mind,The Amboy Dukes,Journey to the Center of the Mind,1968,1,014,core_graph_album,resolved,apple_itunes_search_api,high,97,18,The Amboy Dukes,Journey to the Center of the Mind,1968-05-08,422781364,,,https://music.apple.com/us/album/journey-to-the-center-of-the-mind/422781364?uo=4,
album|america|hearts,America,Hearts,1975,1,022,core_graph_album,resolved,apple_itunes_search_api,high,97,12,America,Hearts,1975-03-19,150058873,,,https://music.apple.com/us/album/hearts/150058873?uo=4,
album|american aquarium|burn flicker die,American Aquarium,Burn.Flicker.Die.,2012,1,036,core_graph_album,resolved,apple_itunes_search_api,high,97,11,American Aquarium,Burn.Flicker.Die,2012-09-28,1503740063,,,https://music.apple.com/us/album/burn-flicker-die/1503740063?uo=4,
album|american football|american football,American Football,American Football,1999,1,077,core_graph_album,resolved,apple_itunes_search_api,high,97,9,American Football,American Football,1999-09-14,1651333864,,,https://music.apple.com/us/album/american-football/1651333864?uo=4,
album|amy grant|heart in motion,Amy Grant,Heart in Motion,1991,1,109,context_candidate,resolved,apple_itunes_search_api,high,97,11,Amy Grant,Heart in Motion,1991-03-05,1440832797,,,https://music.apple.com/us/album/heart-in-motion/1440832797?uo=4,
album|amyl and the sniffers|comfort to me,Amyl and the Sniffers,Comfort to Me,2021,1,115,core_graph_album,resolved,musicbrainz_ws2,high,109,13,Amyl and the Sniffers,Comfort to Me,2021-09-10,1574728155,dae7fa1e-f8e6-4eef-a0a4-700307c439be,026c2d04-5735-41ce-a736-a1e6e74bbd2a,https://musicbrainz.org/release/026c2d04-5735-41ce-a736-a1e6e74bbd2a,
album|andrae crouch|live in london,Andrae Crouch,Live in London,1978,1,108,context_candidate,resolved,musicbrainz_ws2,medium,85,25,Andraé Crouch & the Disciples,Live in London,2003,305503778,3e48fe76-6342-417c-9418-abf57b6f9432,4323ef47-df72-4dcc-9af6-84cd8a8905f5,https://musicbrainz.org/release/4323ef47-df72-4dcc-9af6-84cd8a8905f5,selected_release_year_far_from_seed_year
album|andrea bocelli|romanza,Andrea Bocelli,Romanza,1997,1,103,core_graph_album,resolved,apple_itunes_search_api,high,94,15,Andrea Bocelli,Romanza,1996-01-01,1440840332,,,https://music.apple.com/us/album/romanza/1440840332?uo=4,
album|andrea bocelli|sogno,Andrea Bocelli,Sogno,1999,1,103,core_graph_album,resolved,apple_itunes_search_api,high,97,14,Andrea Bocelli,Sogno,1999-01-01,1740784216,,,https://music.apple.com/us/album/sogno/1740784216?uo=4,
album|angel olsen|all mirrors,Angel Olsen,All Mirrors,2019,1,116,core_graph_album,resolved,apple_itunes_search_api,high,97,11,Angel Olsen,All Mirrors,2019-10-04,1472009368,,,https://music.apple.com/us/album/all-mirrors/1472009368?uo=4,lookup_track_count_below_catalog_track_count
album|angel olsen|big time,Angel Olsen,Big Time,2022,1,116,core_graph_album,resolved,apple_itunes_search_api,high,97,10,Angel Olsen,Big Time,2022-06-03,1612533349,,,https://music.apple.com/us/album/big-time/1612533349?uo=4,
album|angel witch|angel witch,Angel Witch,Angel Witch,1980,1,061,core_graph_album,resolved,musicbrainz_ws2,high,109,30,Angel Witch,Angel Witch,1980,1444755676,52063b2d-ff18-3f2a-80d7-88ba835e17ac,59bc3044-ab18-4ab0-a17c-2d4d8ec420f6,https://musicbrainz.org/release/59bc3044-ab18-4ab0-a17c-2d4d8ec420f6,
album|angie stone|black diamond,Angie Stone,Black Diamond,1999,1,043,core_graph_album,resolved,musicbrainz_ws2,high,109,15,Angie Stone,Black Diamond,1999-09-28,1534248450,a5495b1a-deaf-36cb-8478-99d2cec154e3,1581c31a-2f21-4841-b3ca-8ff8546c0cf4,https://musicbrainz.org/release/1581c31a-2f21-4841-b3ca-8ff8546c0cf4,
album|animal collective|merriweather post pavilion,Animal Collective,Merriweather Post Pavilion,2009,1,078,core_graph_album,resolved,apple_itunes_search_api,high,97,12,Animal Collective,Merriweather Post Pavilion,2009-01-06,300683110,,,https://music.apple.com/us/album/merriweather-post-pavilion/300683110?uo=4,
album|animals|animals,The Animals,The Animals,1964,1,008,core_graph_album,resolved,musicbrainz_ws2,high,101,13,The Animals,The Animals,1965-03,1440781967,8a98a17e-0687-3b3a-89d7-3d2de2dab3d0,90b1532a-ffb4-4c6c-a0a8-43c607298fa6,https://musicbrainz.org/release/90b1532a-ffb4-4c6c-a0a8-43c607298fa6,
album|anita baker|giving you the best that i got,Anita Baker,Giving You the Best That I Got,1988,1,041,core_graph_album,resolved,apple_itunes_search_api,high,97,8,Anita Baker,Giving You the Best That I Got,1988-10-18,300205037,,,https://music.apple.com/us/album/giving-you-the-best-that-i-got/300205037?uo=4,
album|anita baker|rapture,Anita Baker,Rapture,1986,1,041,core_graph_album,resolved,apple_itunes_search_api,high,97,8,Anita Baker,Rapture,1986-03-20,1018520424,,,https://music.apple.com/us/album/rapture/1018520424?uo=4,
album|ann peebles|i can t stand the rain,Ann Peebles,I Can't Stand the Rain,1974,1,038,core_graph_album,resolved,apple_itunes_search_api,high,97,10,Ann Peebles,I Can't Stand the Rain,1974-06-11,1074125635,,,https://music.apple.com/us/album/i-cant-stand-the-rain/1074125635?uo=4,
album|annette funicello|annette s beach party,Annette Funicello,Annette's Beach Party,1963,1,004,core_graph_album,resolved,apple_itunes_search_api,high,97,12,Annette Funicello,Annette's Beach Party,1963-01-01,1444177635,,,https://music.apple.com/us/album/annettes-beach-party/1444177635?uo=4,
album|anoushka shankar|rise,Anoushka Shankar,Rise,2005,1,099,core_graph_album,resolved,apple_itunes_search_api,high,94,9,Anoushka Shankar,Rise,2006-01-01,716185449,,,https://music.apple.com/us/album/rise/716185449?uo=4,
album|anthony hamilton|comin from where i m from,Anthony Hamilton,Comin' from Where I'm From,2003,1,043,core_graph_album,resolved,apple_itunes_search_api,high,97,12,Anthony Hamilton,Comin' from Where I'm From,2003-09-23,298423959,,,https://music.apple.com/us/album/comin-from-where-im-from/298423959?uo=4,
album|anthrax|among the living,Anthrax,Among the Living,1987,1,062,core_graph_album,resolved,musicbrainz_ws2,high,109,9,Anthrax,Among the Living,1987-03-22,1440824574,413bc69f-9391-3fe3-802b-5bf4922f6066,27d5663b-82d3-4152-91d5-f1e9cdb2cb32,https://musicbrainz.org/release/27d5663b-82d3-4152-91d5-f1e9cdb2cb32,
album|aphex twin|richard d james album,Aphex Twin,Richard D. James Album,1996,1,087,core_graph_album,resolved,apple_itunes_search_api,high,97,10,Aphex Twin,Richard D. James Album,1996-11-04,281111401,,,https://music.apple.com/us/album/richard-d-james-album/281111401?uo=4,
album|aphex twin|selected ambient works 85 92,Aphex Twin,Selected Ambient Works 85-92,1992,1,087,core_graph_album,resolved,apple_itunes_search_api,high,97,13,Aphex Twin,Selected Ambient Works 85-92,1992-02-12,1668862636,,,https://music.apple.com/us/album/selected-ambient-works-85-92/1668862636?uo=4,
