v1_membership_id,source_layer,source_file,source_index,archetype_id,candidate_type,artist_display_name,title,year,primary_family,primary_archetype,secondary_archetypes,recognition_band,mission_role,import_class,version_or_composition_risk,risk_status,confidence,why_it_belongs,notes,candidate_identity_key,archetype_membership_key,active_in_v1,active_effective_credit,pm_multi_membership_status,pass_c_zero_credit_before_pm_decision,sidecar_scope
v1m_00299,current_graph,data/canonical_graph/family_1/normalized_family_1.json,,001,album,Chuck Berry,After School Session,1957,"Early Rock, Oldies, Doo-Wop, Pre-Beatles Pop",Early Rock & Roll Foundations,,obvious,album_world,core_graph_album,none,resolved,high,Best original-LP doorway for Berry's 1950s run.,True album,album|chuck berry|after school session,album|chuck berry|after school session@@001,true,1,not_applicable,false,core_album_sidecar
v1m_00310,current_graph,data/canonical_graph/family_1/normalized_family_1.json,,001,album,Bill Haley & His Comets,Rock Around the Clock,1955,"Early Rock, Oldies, Doo-Wop, Pre-Beatles Pop",Early Rock & Roll Foundations,,obvious,album_world,core_graph_album,soundtrack,resolved_with_version_note,high,Keeps the mass-breakthrough story visible in album survey.,Soundtrack-linked LP,album|bill haley and his comets|rock around the clock,album|bill haley and his comets|rock around the clock@@001,true,1,not_applicable,false,core_album_sidecar
v1m_00311,current_graph,data/canonical_graph/family_1/normalized_family_1.json,,001,album,Buddy Holly and the Crickets,"The ""Chirping"" Crickets",1957,"Early Rock, Oldies, Doo-Wop, Pre-Beatles Pop",Early Rock & Roll Foundations,,obvious,album_world,core_graph_album,none,resolved,high,Strong album-world for the melodic side of first-wave rock.,True album,album|buddy holly and the crickets|chirping crickets,album|buddy holly and the crickets|chirping crickets@@001,true,1,not_applicable,false,core_album_sidecar
v1m_00312,current_graph,data/canonical_graph/family_1/normalized_family_1.json,,001,album,Fats Domino,This Is Fats Domino!,1956,"Early Rock, Oldies, Doo-Wop, Pre-Beatles Pop",Early Rock & Roll Foundations,,medium,album_world,core_graph_album,none,resolved,high,Reliable LP entry to the New Orleans side.,True album,album|fats domino|this is fats domino,album|fats domino|this is fats domino@@001,true,1,not_applicable,false,core_album_sidecar
v1m_00313,current_graph,data/canonical_graph/family_1/normalized_family_1.json,,001,album,Various Artists,Atlantic Rhythm and Blues 1947-1974,1985,"Early Rock, Oldies, Doo-Wop, Pre-Beatles Pop",Early Rock & Roll Foundations,,obvious,album_world,core_graph_album,none,resolved,high,Essential R&B-to-rock source-code gateway.,Also 006,album|various artists|atlantic rhythm and blues 1947 1974,album|various artists|atlantic rhythm and blues 1947 1974@@001,true,1,not_applicable,false,core_album_sidecar
v1m_00314,current_graph,data/canonical_graph/family_1/normalized_family_1.json,,001,album,Big Joe Turner,Boss of the Blues,1956,"Early Rock, Oldies, Doo-Wop, Pre-Beatles Pop",Early Rock & Roll Foundations,,medium,album_world,core_graph_album,none,resolved,high,True album object for jump-blues/early rock bridge.,Also 006,album|big joe turner|boss of the blues,album|big joe turner|boss of the blues@@001,true,1,not_applicable,false,core_album_sidecar
v1m_00315,current_graph,data/canonical_graph/family_1/normalized_family_1.json,,001,album,Sister Rosetta Tharpe,Gospel Train,1956,"Early Rock, Oldies, Doo-Wop, Pre-Beatles Pop",Early Rock & Roll Foundations,,medium,album_world,core_graph_album,none,resolved,high,Best LP-era container for Tharpe in this family.,"Artist is source-code, not normal Page 1",album|sister rosetta tharpe|gospel train,album|sister rosetta tharpe|gospel train@@001,true,1,not_applicable,false,core_album_sidecar
v1m_00316,current_graph,data/canonical_graph/family_1/normalized_family_1.json,,001,album,Various Artists,The Specialty Story,1994,"Early Rock, Oldies, Doo-Wop, Pre-Beatles Pop",Early Rock & Roll Foundations,,medium,album_world,core_graph_album,none,resolved,high,Consolidates Little Richard/Lloyd Price/Larry Williams source lane.,Also 006,album|various artists|specialty story,album|various artists|specialty story@@001,true,1,not_applicable,false,core_album_sidecar
v1m_00317,current_graph,data/canonical_graph/family_1/normalized_family_1.json,,002,album,Gene Vincent,Bluejean Bop!,1958,"Early Rock, Oldies, Doo-Wop, Pre-Beatles Pop",Rockabilly / Primitive Guitar / Proto-Garage,,medium,album_world,core_graph_album,none,resolved,high,Strong second-step object.,True album,album|gene vincent|bluejean bop,album|gene vincent|bluejean bop@@002,true,1,not_applicable,false,core_album_sidecar
v1m_00318,current_graph,data/canonical_graph/family_1/normalized_family_1.json,,002,album,Bo Diddley,Bo Diddley,1958,"Early Rock, Oldies, Doo-Wop, Pre-Beatles Pop",Rockabilly / Primitive Guitar / Proto-Garage,,obvious,album_world,core_graph_album,none,resolved,high,Included for beat-and-texture reasons.,Album exception,album|bo diddley|bo diddley,album|bo diddley|bo diddley@@002,true,1,not_applicable,false,core_album_sidecar
v1m_00319,current_graph,data/canonical_graph/family_1/normalized_family_1.json,,002,album,Carl Perkins,Dance Album of Carl Perkins,1957,"Early Rock, Oldies, Doo-Wop, Pre-Beatles Pop",Rockabilly / Primitive Guitar / Proto-Garage,,obvious,album_world,core_graph_album,none,resolved,high,Cleanest original-LP core object.,True album,album|carl perkins|dance album of carl perkins,album|carl perkins|dance album of carl perkins@@002,true,1,not_applicable,false,core_album_sidecar
v1m_00320,current_graph,data/canonical_graph/family_1/normalized_family_1.json,,002,album,Eddie Cochran,Eddie Cochran Sings to You,1957,"Early Rock, Oldies, Doo-Wop, Pre-Beatles Pop",Rockabilly / Primitive Guitar / Proto-Garage,,obvious,album_world,core_graph_album,none,resolved,high,Best original-LP doorway.,True album,album|eddie cochran|eddie cochran sings to you,album|eddie cochran|eddie cochran sings to you@@002,true,1,not_applicable,false,core_album_sidecar
v1m_00321,current_graph,data/canonical_graph/family_1/normalized_family_1.json,,002,album,Gene Vincent,Gene Vincent and His Blue Caps,1957,"Early Rock, Oldies, Doo-Wop, Pre-Beatles Pop",Rockabilly / Primitive Guitar / Proto-Garage,,obvious,album_world,core_graph_album,none,resolved,high,Central Blue Caps entry point.,True album,album|gene vincent|gene vincent and his blue caps,album|gene vincent|gene vincent and his blue caps@@002,true,1,not_applicable,false,core_album_sidecar
v1m_00322,current_graph,data/canonical_graph/family_1/normalized_family_1.json,,002,album,Duane Eddy,"Have ""Twangy"" Guitar Will Travel",1958,"Early Rock, Oldies, Doo-Wop, Pre-Beatles Pop",Rockabilly / Primitive Guitar / Proto-Garage,,obvious,album_world,core_graph_album,none,resolved,high,Canonical twang LP.,True album,album|duane eddy|have twangy guitar will travel,album|duane eddy|have twangy guitar will travel@@002,true,1,not_applicable,false,core_album_sidecar
v1m_00323,current_graph,data/canonical_graph/family_1/normalized_family_1.json,,002,album,The Sonics,Here Are The Sonics,1965,"Early Rock, Oldies, Doo-Wop, Pre-Beatles Pop",Rockabilly / Primitive Guitar / Proto-Garage,,deep,boundary_case,boundary_candidate,none,resolved,high,Late boundary object for proto-garage fans.,Boundary LP,album|sonics|here are the sonics,album|sonics|here are the sonics@@002,true,1,not_applicable,false,context_boundary_album_sidecar
v1m_00324,current_graph,data/canonical_graph/family_1/normalized_family_1.json,,002,album,Johnny Burnette and the Rock 'n Roll Trio,Johnny Burnette and the Rock 'n Roll Trio,1957,"Early Rock, Oldies, Doo-Wop, Pre-Beatles Pop",Rockabilly / Primitive Guitar / Proto-Garage,,medium,deep_cut,core_graph_album,none,resolved,high,Key rawness document.,True album,album|johnny burnette and the rock n roll trio|johnny burnette and the rock n roll trio,album|johnny burnette and the rock n roll trio|johnny burnette and the rock n roll trio@@002,true,1,not_applicable,false,core_album_sidecar
v1m_00325,current_graph,data/canonical_graph/family_1/normalized_family_1.json,,002,album,Johnny Cash,Johnny Cash with His Hot and Blue Guitar!,1957,"Early Rock, Oldies, Doo-Wop, Pre-Beatles Pop",Rockabilly / Primitive Guitar / Proto-Garage,,obvious,album_world,core_graph_album,none,resolved,high,Important country-dark adjacent object.,Album exception,album|johnny cash|johnny cash with his hot and blue guitar,album|johnny cash|johnny cash with his hot and blue guitar@@002,true,1,not_applicable,false,core_album_sidecar
v1m_00326,current_graph,data/canonical_graph/family_1/normalized_family_1.json,,002,album,Dick Dale and His Del-Tones,King of the Surf Guitar,1963,"Early Rock, Oldies, Doo-Wop, Pre-Beatles Pop",Rockabilly / Primitive Guitar / Proto-Garage,,obvious,album_world,core_graph_album,none,resolved,high,Strong 002/007 boundary object.,Album exception,album|dick dale and his del tones|king of the surf guitar,album|dick dale and his del tones|king of the surf guitar@@002,true,1,not_applicable,false,core_album_sidecar
v1m_00327,current_graph,data/canonical_graph/family_1/normalized_family_1.json,,002,album,Link Wray,Link Wray & the Wraymen,1960,"Early Rock, Oldies, Doo-Wop, Pre-Beatles Pop",Rockabilly / Primitive Guitar / Proto-Garage,,medium,deep_cut,core_graph_album,none,resolved,high,Best album object for distorted-guitar fans.,True album,album|link wray|link wray and the wraymen,album|link wray|link wray and the wraymen@@002,true,1,not_applicable,false,core_album_sidecar
v1m_00328,current_graph,data/canonical_graph/family_1/normalized_family_1.json,,002,album,Johnny Cash,The Fabulous Johnny Cash,1958,"Early Rock, Oldies, Doo-Wop, Pre-Beatles Pop",Rockabilly / Primitive Guitar / Proto-Garage,,medium,album_world,core_graph_album,none,resolved,high,Useful if Cash response outpaces pure rockabilly response.,Album exception,album|johnny cash|fabulous johnny cash,album|johnny cash|fabulous johnny cash@@002,true,1,not_applicable,false,core_album_sidecar
v1m_00329,current_graph,data/canonical_graph/family_1/normalized_family_1.json,,002,album,The Collins Kids,"Hop, Skip and Jump",1991,"Early Rock, Oldies, Doo-Wop, Pre-Beatles Pop",Rockabilly / Primitive Guitar / Proto-Garage,,deep,album_world,core_graph_album,none,resolved,high,Best gateway for TV/youth rockabilly.,Depth only,album|collins kids|hop skip and jump,album|collins kids|hop skip and jump@@002,true,1,not_applicable,false,core_album_sidecar
v1m_00330,current_graph,data/canonical_graph/family_1/normalized_family_1.json,,002,album,Ronnie Self,Mr. Frantic Is Boppin' the Blues,1990,"Early Rock, Oldies, Doo-Wop, Pre-Beatles Pop",Rockabilly / Primitive Guitar / Proto-Garage,,deep,deep_cut,core_graph_album,none,resolved,high,Best object for Self's proto-punk rockabilly energy.,Specialist only,album|ronnie self|mr frantic is boppin the blues,album|ronnie self|mr frantic is boppin the blues@@002,true,1,not_applicable,false,core_album_sidecar
v1m_00331,current_graph,data/canonical_graph/family_1/normalized_family_1.json,,002,album,The Rock-A-Teens,The Rock-A-Teens: Woo-Hoo,1959,"Early Rock, Oldies, Doo-Wop, Pre-Beatles Pop",Rockabilly / Primitive Guitar / Proto-Garage,,medium,album_world,core_graph_album,none,resolved,high,Title hit justifies album exception.,Song-first,album|rock a teens|rock a teens woo hoo,album|rock a teens|rock a teens woo hoo@@002,true,1,not_applicable,false,core_album_sidecar
v1m_00332,current_graph,data/canonical_graph/family_1/normalized_family_1.json,,002,album,Various Artists,"Essential Sun Rockabillies, Vol. 1",2006,"Early Rock, Oldies, Doo-Wop, Pre-Beatles Pop",Rockabilly / Primitive Guitar / Proto-Garage,,medium,album_world,core_graph_album,none,resolved,high,Apple-resolvable Sun/Charly rockabilly compilation keeps the Sun Records gateway role for Page 2.,"Availability replacement for source-intent title The Sun Rockabilly Years (1980); active Apple sidecar object is Essential Sun Rockabillies, Vol. 1.",album|various artists|essential sun rockabillies vol 1,album|various artists|essential sun rockabillies vol 1@@002,true,1,not_applicable,false,core_album_sidecar
v1m_00333,current_graph,data/canonical_graph/family_1/normalized_family_1.json,,003,album,The Marcels,Blue Moon,1961,"Early Rock, Oldies, Doo-Wop, Pre-Beatles Pop",Doo-Wop / Vocal Group Oldies,,medium,bridge,core_graph_album,none,resolved,high,One-hit-led but still survey-useful.,Gateway,album|marcels|blue moon,album|marcels|blue moon@@003,true,1,not_applicable,false,core_album_sidecar
v1m_00334,current_graph,data/canonical_graph/family_1/normalized_family_1.json,,003,album,The Platters,Encore of Golden Hits,1960,"Early Rock, Oldies, Doo-Wop, Pre-Beatles Pop",Doo-Wop / Vocal Group Oldies,,obvious,album_world,core_graph_album,none,resolved,high,Better survey object than splitting across singles.,Gateway,album|platters|encore of golden hits,album|platters|encore of golden hits@@003,true,1,not_applicable,false,core_album_sidecar
v1m_00335,current_graph,data/canonical_graph/family_1/normalized_family_1.json,,003,album,The Flamingos,Flamingo Serenade,1959,"Early Rock, Oldies, Doo-Wop, Pre-Beatles Pop",Doo-Wop / Vocal Group Oldies,,medium,album_world,core_graph_album,none,resolved,high,Good album-world for the dreamy lane.,True album,album|flamingos|flamingo serenade,album|flamingos|flamingo serenade@@003,true,1,not_applicable,false,core_album_sidecar
v1m_00336,current_graph,data/canonical_graph/family_1/normalized_family_1.json,,003,album,The Five Satins,50 Best Hits (2023 Remastered),1965,"Early Rock, Oldies, Doo-Wop, Pre-Beatles Pop",Doo-Wop / Vocal Group Oldies,,medium,album_world,core_graph_album,none,resolved,high,Compilation is more useful than original LP chasing.,Availability replacement for source-intent title Golden Hits; active Apple sidecar object is 50 Best Hits (2023 Remastered).,album|five satins|50 best hits 2023 remastered,album|five satins|50 best hits 2023 remastered@@003,true,1,not_applicable,false,core_album_sidecar
v1m_00337,current_graph,data/canonical_graph/family_1/normalized_family_1.json,,003,album,Dion and the Belmonts,Presenting Dion and the Belmonts,1959,"Early Rock, Oldies, Doo-Wop, Pre-Beatles Pop",Doo-Wop / Vocal Group Oldies,,obvious,album_world,core_graph_album,none,resolved,high,Important hinge LP.,True album,album|dion and the belmonts|presenting dion and the belmonts,album|dion and the belmonts|presenting dion and the belmonts@@003,true,1,not_applicable,false,core_album_sidecar
v1m_00338,current_graph,data/canonical_graph/family_1/normalized_family_1.json,,003,album,The Drifters,Save the Last Dance for Me,1962,"Early Rock, Oldies, Doo-Wop, Pre-Beatles Pop",Doo-Wop / Vocal Group Oldies,,obvious,album_world,core_graph_album,none,resolved,high,Strongest true album object.,True album,album|drifters|save the last dance for me,album|drifters|save the last dance for me@@003,true,1,not_applicable,false,core_album_sidecar
v1m_00339,current_graph,data/canonical_graph/family_1/normalized_family_1.json,,003,album,The Crests,The Best of the Crests,1962,"Early Rock, Oldies, Doo-Wop, Pre-Beatles Pop",Doo-Wop / Vocal Group Oldies,,medium,album_world,core_graph_album,none,resolved,high,The songs matter more than a studio-LP frame.,Gateway,album|crests|best of the crests,album|crests|best of the crests@@003,true,1,not_applicable,false,core_album_sidecar
v1m_00340,current_graph,data/canonical_graph/family_1/normalized_family_1.json,,003,album,The Drifters,The Drifters' Golden Hits,1968,"Early Rock, Oldies, Doo-Wop, Pre-Beatles Pop",Doo-Wop / Vocal Group Oldies,,obvious,album_world,core_graph_album,none,resolved,high,More survey-useful than most original LPs.,Gateway,album|drifters|drifters golden hits,album|drifters|drifters golden hits@@003,true,1,not_applicable,false,core_album_sidecar
v1m_00341,current_graph,data/canonical_graph/family_1/normalized_family_1.json,,003,album,The Platters,The Platters,1956,"Early Rock, Oldies, Doo-Wop, Pre-Beatles Pop",Doo-Wop / Vocal Group Oldies,,obvious,album_world,core_graph_album,none,resolved,high,Strong original-LP entry.,True album,album|platters|platters,album|platters|platters@@003,true,1,not_applicable,false,core_album_sidecar
v1m_00342,current_graph,data/canonical_graph/family_1/normalized_family_1.json,,003,album,Little Anthony and the Imperials,The Greatest Hits of Little Anthony and the Imperials,2005,"Early Rock, Oldies, Doo-Wop, Pre-Beatles Pop",Doo-Wop / Vocal Group Oldies,,obvious,album_world,core_graph_album,none,resolved,high,Concise Apple-resolvable Rhino compilation preserves the doo-wop-to-soul gateway role when the 1959 LP is not reliably Apple-US available.,Active Apple sidecar replacement; preserve We Are the Imperials Featuring Little Anthony (1959) as historical_original_album_alias/source intent.,album|little anthony and the imperials|greatest hits of little anthony and the imperials,album|little anthony and the imperials|greatest hits of little anthony and the imperials@@003,true,1,not_applicable,false,core_album_sidecar
v1m_00343,current_graph,data/canonical_graph/family_1/normalized_family_1.json,,003,album,Frankie Lymon and the Teenagers,Why Do Fools Fall in Love,1956,"Early Rock, Oldies, Doo-Wop, Pre-Beatles Pop",Doo-Wop / Vocal Group Oldies,,medium,bridge,core_graph_album,none,resolved,high,Useful gateway object despite singles-heavy catalog.,Gateway-ish,album|frankie lymon and the teenagers|why do fools fall in love,album|frankie lymon and the teenagers|why do fools fall in love@@003,true,1,not_applicable,false,core_album_sidecar
v1m_00344,current_graph,data/canonical_graph/family_1/normalized_family_1.json,,003,album,The Harptones,Life Is But a Dream,1990,"Early Rock, Oldies, Doo-Wop, Pre-Beatles Pop",Doo-Wop / Vocal Group Oldies,,medium,deep_cut,core_graph_album,none,resolved,high,Strong depth gateway for harmony fans.,Depth,album|harptones|life is but a dream,album|harptones|life is but a dream@@003,true,1,not_applicable,false,core_album_sidecar
v1m_00345,current_graph,data/canonical_graph/family_1/normalized_family_1.json,,003,album,The Jive Five,The Best of The Jive Five,1990,"Early Rock, Oldies, Doo-Wop, Pre-Beatles Pop",Doo-Wop / Vocal Group Oldies,,medium,album_world,core_graph_album,none,resolved,high,"Best object for ""My True Story"" plus follow-ups.",Song-first,album|jive five|best of the jive five,album|jive five|best of the jive five@@003,true,1,not_applicable,false,core_album_sidecar
v1m_00346,current_graph,data/canonical_graph/family_1/normalized_family_1.json,,003,album,Various Artists,The Doo Wop Box,1993,"Early Rock, Oldies, Doo-Wop, Pre-Beatles Pop",Doo-Wop / Vocal Group Oldies,,obvious,album_world,core_graph_album,none,resolved,high,Practical canonical gateway for song-first doo-wop.,Should not replace individual songs,album|various artists|doo wop box,album|various artists|doo wop box@@003,true,1,not_applicable,false,core_album_sidecar
v1m_00347,current_graph,data/canonical_graph/family_1/normalized_family_1.json,,003,album,The Chantels,We Are the Chantels,1958,"Early Rock, Oldies, Doo-Wop, Pre-Beatles Pop",Doo-Wop / Vocal Group Oldies,,medium,album_world,core_graph_album,none,resolved,high,Female doo-wop/girl-group root LP object.,Also 005,album|chantels|we are the chantels,album|chantels|we are the chantels@@003,true,1,not_applicable,false,core_album_sidecar
v1m_00348,current_graph,data/canonical_graph/family_1/normalized_family_1.json,,004,album,Brenda Lee,All the Way,1961,"Early Rock, Oldies, Doo-Wop, Pre-Beatles Pop",Teen Idol / Early Pop-Rock Radio,,medium,bridge,core_graph_album,none,resolved,high,Good if users want the softened-country-pop branch.,True album,album|brenda lee|all the way,album|brenda lee|all the way@@004,true,1,not_applicable,false,core_album_sidecar
v1m_00349,current_graph,data/canonical_graph/family_1/normalized_family_1.json,,004,album,Annette Funicello,Annette's Beach Party,1963,"Early Rock, Oldies, Doo-Wop, Pre-Beatles Pop",Teen Idol / Early Pop-Rock Radio,,medium,album_world,core_graph_album,none,resolved,high,Useful where teen-radio meets beach-culture nostalgia.,Album exception,album|annette funicello|annette s beach party,album|annette funicello|annette s beach party@@004,true,1,not_applicable,false,core_album_sidecar
v1m_00350,current_graph,data/canonical_graph/family_1/normalized_family_1.json,,004,album,Bobby Vee,Bobby Vee Meets the Crickets,1962,"Early Rock, Oldies, Doo-Wop, Pre-Beatles Pop",Teen Idol / Early Pop-Rock Radio,,obvious,bridge,core_graph_album,none,resolved,high,Great handoff LP for Buddy/Crickets-adjacent taste.,True album,album|bobby vee|bobby vee meets the crickets,album|bobby vee|bobby vee meets the crickets@@004,true,1,not_applicable,false,core_album_sidecar
v1m_00351,current_graph,data/canonical_graph/family_1/normalized_family_1.json,,004,album,Brenda Lee,Brenda Lee,1960,"Early Rock, Oldies, Doo-Wop, Pre-Beatles Pop",Teen Idol / Early Pop-Rock Radio,,obvious,album_world,core_graph_album,none,resolved,high,Stronger album object than many idol peers have.,True album,album|brenda lee|brenda lee,album|brenda lee|brenda lee@@004,true,1,not_applicable,false,core_album_sidecar
v1m_00352,current_graph,data/canonical_graph/family_1/normalized_family_1.json,,004,album,Lesley Gore,I'll Cry If I Want To,1963,"Early Rock, Oldies, Doo-Wop, Pre-Beatles Pop",Teen Idol / Early Pop-Rock Radio,,obvious,album_world,core_graph_album,none,resolved,high,Sits between 004 and 005.,True album,album|lesley gore|i ll cry if i want to,album|lesley gore|i ll cry if i want to@@004,true,1,not_applicable,false,core_album_sidecar
v1m_00353,current_graph,data/canonical_graph/family_1/normalized_family_1.json,,004,album,Ricky Nelson,More Songs by Ricky,1960,"Early Rock, Oldies, Doo-Wop, Pre-Beatles Pop",Teen Idol / Early Pop-Rock Radio,,obvious,album_world,core_graph_album,none,resolved,high,Strong second-step Ricky object.,True album,album|ricky nelson|more songs by ricky,album|ricky nelson|more songs by ricky@@004,true,1,not_applicable,false,core_album_sidecar
v1m_00354,current_graph,data/canonical_graph/family_1/normalized_family_1.json,,004,album,Neil Sedaka,Neil Sedaka Sings Little Devil and His Other Hits,1961,"Early Rock, Oldies, Doo-Wop, Pre-Beatles Pop",Teen Idol / Early Pop-Rock Radio,,obvious,album_world,core_graph_album,none,resolved,high,Strong LP entry to Sedaka's early run.,True album,album|neil sedaka|neil sedaka sings little devil and his other hits,album|neil sedaka|neil sedaka sings little devil and his other hits@@004,true,1,not_applicable,false,core_album_sidecar
v1m_00355,current_graph,data/canonical_graph/family_1/normalized_family_1.json,,004,album,Gene Pitney,Only Love Can Break a Heart,1962,"Early Rock, Oldies, Doo-Wop, Pre-Beatles Pop",Teen Idol / Early Pop-Rock Radio,,obvious,album_world,core_graph_album,none,resolved,high,Good dramatic-radio LP object.,True album,album|gene pitney|only love can break a heart,album|gene pitney|only love can break a heart@@004,true,1,not_applicable,false,core_album_sidecar
v1m_00356,current_graph,data/canonical_graph/family_1/normalized_family_1.json,,004,album,Paul Anka,Paul Anka,1958,"Early Rock, Oldies, Doo-Wop, Pre-Beatles Pop",Teen Idol / Early Pop-Rock Radio,,medium,album_world,core_graph_album,none,resolved,high,Clean anchor LP for early-idol sentiment.,True album,album|paul anka|paul anka,album|paul anka|paul anka@@004,true,1,not_applicable,false,core_album_sidecar
v1m_00357,current_graph,data/canonical_graph/family_1/normalized_family_1.json,,004,album,Paul Anka,Paul Anka Sings His Big 15,1960,"Early Rock, Oldies, Doo-Wop, Pre-Beatles Pop",Teen Idol / Early Pop-Rock Radio,,obvious,bridge,core_graph_album,none,resolved,high,Better survey gateway than deeper catalog picks.,Gateway,album|paul anka|paul anka sings his big 15,album|paul anka|paul anka sings his big 15@@004,true,1,not_applicable,false,core_album_sidecar
v1m_00358,current_graph,data/canonical_graph/family_1/normalized_family_1.json,,004,album,Ricky Nelson,Ricky Sings Again,1959,"Early Rock, Oldies, Doo-Wop, Pre-Beatles Pop",Teen Idol / Early Pop-Rock Radio,,obvious,album_world,core_graph_album,none,resolved,high,Best straight teen-idol LP anchor.,True album,album|ricky nelson|ricky sings again,album|ricky nelson|ricky sings again@@004,true,1,not_applicable,false,core_album_sidecar
