archetype_id,family_number,archetype,high_traffic,effective_target,effective_mission_count_before_pass_c,effective_mission_count_after_pass_c,pm_approved_multi_membership_credit,effective_mission_count_after_pass_d,effective_gap_after_pass_d,playable_songs_after_pass_d,albums_after_pass_d,artist_anchors_after_pass_d,boundary_after_pass_d,false_nearby_after_pass_d,context_candidates_after_pass_d,risky_unresolved_after_pass_d,pass_d_status
047,7,Gangsta Rap / West Coast / G-Funk,true,80,41,80,0,80,0,49,20,14,16,1,0,5,mission_effective_ready
048,7,East Coast 90s / Boom Bap / Street Canon,true,80,41,80,0,80,0,52,23,10,5,0,0,9,mission_effective_ready
049,7,Southern Hip-Hop / Crunk / Trap Foundations,true,100,43,100,0,100,0,59,23,15,12,8,0,2,mission_effective_ready
050,7,Pop-Rap / Mainstream Hip-Hop Crossover,true,100,45,102,4,106,0,60,22,15,18,15,0,3,mission_effective_ready
051,7,Alternative / Experimental / Indie Rap,true,80,37,80,2,82,0,47,19,16,29,1,0,7,mission_effective_ready
052,7,Modern Trap / Streaming-Era Rap,true,100,49,100,0,100,0,63,20,14,22,1,0,0,mission_effective_ready
053,8,First-Wave Punk / 70s Punk,true,80,38,80,0,80,0,58,22,16,1,0,0,6,mission_effective_ready
054,8,CBGB / Art-Punk / Downtown New York,true,80,36,80,0,80,0,62,18,11,6,0,0,13,mission_effective_ready
055,8,Hardcore Punk / US 80s Hardcore,true,80,36,80,0,80,0,58,22,14,5,0,0,10,mission_effective_ready
056,8,Post-Punk / Dark Melodic / Gothic Roots,true,80,34,80,0,80,0,60,20,18,0,0,0,8,mission_effective_ready
057,8,New Wave / MTV Pop-Rock,true,80,39,80,0,80,0,58,22,17,0,0,0,4,mission_effective_ready
058,8,Synthpop / New Romantic / 80s Electronic Pop,true,80,35,80,0,80,0,60,20,17,0,0,0,8,mission_effective_ready
059,8,College Rock / Pre-Alternative 80s,true,80,36,80,0,80,0,59,21,15,2,0,0,9,mission_effective_ready
060,8,Noise Rock / Post-Hardcore / Touch and Go Axis,true,80,37,80,0,80,0,58,22,17,5,1,0,6,mission_effective_ready
061,9,Traditional Heavy Metal / NWOBHM,false,60,42,66,0,66,0,38,21,17,9,0,0,1,mission_effective_ready
062,9,Thrash Metal / Speed Metal,false,60,46,66,0,66,0,42,20,14,7,0,0,0,mission_effective_ready
063,9,Glam Metal / Hair Metal / Pop Metal,false,60,42,66,0,66,0,40,21,17,9,5,0,1,mission_effective_ready
064,9,Doom / Stoner / Desert Heavy,false,60,40,66,0,66,0,39,23,17,7,0,0,3,mission_effective_ready
065,9,Industrial Metal / Machine Rock,false,60,39,66,0,66,0,39,23,15,8,2,0,7,mission_effective_ready
066,9,Alt-Metal / Nu-Metal / Rap-Metal,false,60,49,66,0,66,0,39,23,20,8,7,0,0,mission_effective_ready
067,9,Metalcore / Emo-Heavy / Modern Active Rock,false,60,45,66,0,66,0,40,22,22,14,2,0,0,mission_effective_ready
068,9,Extreme Metal Gateway / Black-Death-Sludge,false,60,47,66,0,66,0,36,26,18,14,0,0,0,mission_effective_ready
069,10,1980s Alternative Source-Code / Pre-Grunge,true,80,31,80,0,80,0,51,23,16,8,1,0,13,mission_effective_ready
070,10,Grunge / Seattle / 90s Alt Center,true,100,35,100,0,100,0,64,28,13,7,3,0,12,mission_effective_ready
071,10,Post-Grunge / Modern Rock Radio,true,100,30,100,0,100,0,66,25,14,6,15,0,16,mission_effective_ready
072,10,90s Indie / Lo-Fi / Slacker / Matador Axis,true,80,32,80,0,80,0,53,21,14,4,2,0,14,mission_effective_ready
073,10,Shoegaze / Dream Pop / Noise Haze,true,80,29,80,0,80,0,53,20,16,7,2,0,15,mission_effective_ready
074,10,Female 90s Alt / Riot Grrrl / Guitar Voices,true,80,29,80,0,80,0,51,22,15,5,5,0,16,mission_effective_ready
075,10,Power-Pop Revival / Crunchy Alt-Pop,true,80,29,80,0,80,0,52,21,17,4,4,0,14,mission_effective_ready
076,10,Pop-Punk / Skate Punk / 90s-00s Punk Pop,true,100,33,100,0,100,0,67,24,15,7,3,0,12,mission_effective_ready
077,10,Emo / Mall Emo / Post-Hardcore Pop,true,100,31,100,0,100,0,66,25,17,8,3,0,12,mission_effective_ready
078,10,Blog Indie / Prestige Indie / 2000s Indie Rock,true,80,32,80,0,80,0,50,24,15,6,1,0,13,mission_effective_ready
079,10,Garage Revival / Rock-Is-Back 2000s,true,80,28,80,0,80,0,52,21,13,4,4,0,19,mission_effective_ready
080,10,Post-Punk Revival / Dark Indie Rock,true,80,29,80,0,80,0,53,20,15,9,2,0,16,mission_effective_ready
081,11,House / Chicago / Dance Club Foundations,false,60,33,65,0,65,0,49,10,15,7,0,0,18,mission_effective_ready
082,11,Techno / Detroit / Minimal Electronic,false,60,24,65,0,65,0,44,12,14,9,1,0,22,mission_effective_ready
083,11,EDM / Festival Dance / Big Room / Mainstream Electronic,false,60,42,65,0,65,0,43,15,17,7,1,0,10,mission_effective_ready
084,11,Trip-Hop / Downtempo / Nocturnal Electronic,false,60,42,65,0,65,0,45,14,14,5,1,0,5,mission_effective_ready
085,11,Indie Dance / Dance-Punk / Electroclash,false,60,42,65,0,65,0,45,11,14,6,5,0,5,mission_effective_ready
086,11,Synthwave / Chillwave / Bedroom Electronic,false,60,46,65,0,65,0,47,12,13,6,2,0,2,mission_effective_ready
087,11,Experimental Electronic / IDM / Art-Electronic,false,60,39,65,0,65,0,42,15,16,7,3,0,7,mission_effective_ready
088,12,70s-80s Pop Sovereigns,true,100,33,100,3,103,0,76,17,7,11,0,0,20,mission_effective_ready
089,12,90s Pop / Teen Pop / TRL Monoculture,true,100,26,100,0,100,0,76,15,12,11,0,0,22,mission_effective_ready
090,12,2000s Pop / Dance-Pop / Club-Pop,true,100,34,100,1,101,0,77,15,8,10,2,0,18,mission_effective_ready
091,12,2010s Persona Pop / Architectural Pop,true,100,33,100,0,100,0,71,20,7,15,0,0,20,mission_effective_ready
092,12,Adult Pop / TV-Drama Anthem / Inspirational Pop,true,100,28,100,1,101,0,77,15,9,10,1,0,23,mission_effective_ready
093,12,TikTok / Streaming-Era Pop / Internet Pop,true,100,24,100,0,100,0,76,15,11,15,0,0,25,mission_effective_ready
094,13,Reggaeton / Urbano / Latin Pop Crossover,true,80,36,80,0,80,0,57,17,23,4,4,0,1,mission_effective_ready
095,13,Regional Mexican / Corridos / Musica Mexicana,true,80,33,80,0,80,0,58,16,19,4,4,2,8,mission_effective_ready
096,13,Salsa / Latin Dance / Tropical Pop,true,80,36,80,0,80,0,58,16,21,4,2,3,3,mission_effective_ready
097,13,Afrobeats / African Pop Crossover,true,80,34,80,0,80,0,58,16,22,6,1,1,4,mission_effective_ready
098,13,K-Pop / J-Pop / Asian Pop Crossover,true,80,33,80,0,80,0,58,16,23,8,2,1,4,mission_effective_ready
099,13,Global Folk / World Fusion / Diaspora Roots,true,80,33,80,0,80,0,57,17,20,4,3,2,7,mission_effective_ready
100,14,Vocal Standards / Crooners / Great American Songbook,false,60,35,66,0,66,0,44,13,19,9,4,2,6,mission_effective_ready
101,14,Jazz Foundations / Bebop / Hard Bop Gateway,false,60,33,66,0,66,0,44,17,24,5,2,3,4,mission_effective_ready
102,14,Smooth Jazz / Jazz-Pop / Adult Instrumental,false,60,36,67,0,67,0,48,13,24,3,7,0,0,mission_effective_ready
103,14,Classical Crossover / Instrumental Popular Canon,false,60,34,66,0,66,0,38,15,14,13,7,3,17,mission_effective_ready
104,15,Broadway / Modern Musical Theater,true,100,64,108,0,108,0,67,38,10,3,0,64,1,mission_effective_ready
105,15,Disney / Family Soundtrack / Animated Musical Canon,true,100,60,108,0,108,0,81,20,9,5,2,60,0,mission_effective_ready
106,15,Movie Soundtracks / 80s-90s-00s Soundtrack Memory,true,100,57,108,0,108,0,77,23,9,8,0,57,1,mission_effective_ready
107,15,Film Score / Epic Score / Ambient Cinematic,true,80,57,90,0,90,0,71,12,19,5,2,57,0,mission_effective_ready
108,16,Black Gospel / Gospel Soul,true,80,43,90,0,90,0,68,16,19,4,2,43,0,mission_effective_ready
109,16,CCM / Christian Pop-Rock / Worship Radio,true,80,34,89,0,89,0,69,14,26,3,5,32,0,mission_effective_ready
110,16,Worship / Praise / Church Songbook,true,100,70,108,0,108,0,90,13,12,3,2,70,1,mission_effective_ready
111,17,Novelty / Comedy / Weird Pop,false,60,44,66,0,66,0,56,6,11,10,2,36,6,mission_effective_ready
112,17,Holiday / Christmas / Seasonal Canon,false,60,45,67,0,67,0,53,10,12,0,0,49,3,mission_effective_ready
113,17,Party / Wedding / Karaoke / Bar Singalong Canon,false,60,49,67,0,67,0,53,8,11,0,23,32,0,mission_effective_ready
114,17,Kids / Family / Household Context Music,false,60,33,67,0,67,0,51,10,9,0,8,31,22,mission_effective_ready
115,18,Current Rock Revival / Post-Punk New Wave 2020s,true,100,35,100,0,100,0,67,25,25,14,0,0,0,mission_effective_ready
116,18,Modern Indie Singer-Songwriter / Sad-Prestige Indie,true,100,37,100,0,100,0,68,24,23,3,7,0,0,mission_effective_ready
117,18,Modern Psych / Groove Indie / Tame-MGMT-Arctic Axis,true,100,37,100,0,100,0,67,25,23,5,3,0,0,mission_effective_ready
118,18,Heavy Modern Alternative / Active Rock Survival,true,100,39,100,0,100,0,67,25,20,6,9,0,1,mission_effective_ready
119,18,Hyperpop / Synthetic Edge-Pop / Internet Maximalism,true,100,35,100,0,100,0,67,25,23,9,4,0,2,mission_effective_ready
120,18,Algorithmic Mood / Lo-Fi / Chill / Study Music,true,100,34,100,0,100,0,69,23,22,2,10,0,4,mission_effective_ready
